i>>?#,,RAZON SOCIAL,,,,CALLE Y NAMERO,COLONIA,MUNICIPIO,CADIGO POSTAL,ESTADO,No. LICENCIA,FECHA LICENCIA,CLASIFICACION O GIRO,,,,LINEAS AUTORIZADAS,,,,,,
40,,INDUSTRIA QUIMICA DEL ISTMO S. A. DE C. V.,,,,KM 128 CARRETERA 136 MEX-VER,SAN COSME XALOSTOC,SAN COSME XALOSTOC,,TLAXCALA,05FQBI290390002,03/02/2005,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,HIPOCLORITO DE SODIO Y ENVASADO DE CLORO (GAS),,,,,,
41,,"INDUSTRIA QUIMICA DEL ISTMO, S. A. DE C. V.",,,,AVE. RUIZ CORTINEZ NO. 2333 PTE,PEDRO LOZANO,MONTERREY,64400,NUEVO LEON,08FQBI190390012,10/09/2008,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS.,,,,"FABRICACION    DE   CLORO    LIQUIDO,   HIDROXIDO    DE   SODIO,    ACIDO    CLORHIDRICO, HIPOCLORITO DE SODIO, ACIDO SULFURICO E HIDROXIDO DE POTASIO.",,,,,,
42,,"INDUSTRIAL QUIMICA DE MEXICO, S.A. DE C.V.",,,,KM B 522 VIA FFCC MEXICO-LAREDO,FRACC. ESPAAITA,SAN LUIS POTOSI,78378,SAN LUIS POTOSI,09FQBO240280003,08/09/2009,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,"FABRICACION   DE   ACIDO   FLUORHIDICO,   ACIDO   CLOROSULFONICO,   FLUORURO   DE ALUMINIO",,,,,,
43,,INDUSTRIAS DERIVADAS DEL ETILENO  S.A. DE C. V.,,,,KM 4.2 BOULEVARD MORELOS,COMPLEJO          PETOQUIMICO MORELOS,COATZACOALCOS,96400,VERACRUZ,14FQBO3003902,13/10/2014,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,FABRICACIAN DE ETILENGLICOLES Y ETANOLAMINAS,,,,,,
44,,INDUSTRIAS DERIVADAS DEL ETILENO S.A. DE C. V.,,,,KM. 112.8 CARR MEX-PUEBLA-TEHUACAN PUEBLA,S/C,PUEBLA,72000,PUEBLA,05FQBO211140001,28/02/2005,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,"FABRICACION DE ETILENGLICOLES, PROPILENGLICOLES Y ETANOLAMONAS",,,,,,
45,,INDUSTRIAS MONFEL S.A DE C.V,,,,AV. PROMOCION 345,ZONA        INDUSTRIAL        1RA. SECCION,SAN LUIS POTOSI,78395,SAN LUIS POTOSI,94AR109E,05/03/2009,FABRICACION DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,,,,"ELABORACION,   COMPRA,   VENTA,   IMPORTACION   Y   EXPORTACION   DE   PRODUCTOS QUIMICOS,   EN   ESPECIAL   ACIDO   ACETICO,   ANHIDRIDO   ACETICO,   ACETATOS,   ETER  Y ALCOHOL ETILICO.",,,,,,
46,,INDUSTRIAS PETROTEC DE MEXICO S.A. DE C.V.,,,,GUANAJUATO 49-A,TULPETLAC,ECATEPEC DE MORELOS,55400,MEXICO,16FQBOI1503307,01/08/2016,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS ORGANICOS E INORGANICOS,,,,"FABRICACIAN   DE   SUSTANCIAS   DESINFECTANTES,   SANITIZANTES,   ANTIOXIDANTES,   Y OTROS ADITIVOS PARA USO VETERINARIO Y ALIMENTICIO.",,,,,,
47,,INNOPHOS FOSFATADOS DE MEXICO S. DE R.L. DE C.V.,,,,AV. 5 Y 12 DEL COMPLEJO INDUSTRIAL PAJARITOS,S/C,COATZACOALCOS,96380,VERACRUZ,05FQBI300390008,10/02/2005,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICO.,,,,"FABRICACION  DE  TRIPOLIFOSFATO  DE  SODIO,  ACIDO  SULFURICO,  FOSFATO  DISODICO, FOSFATO TRISODICO",,,,,,
48,,"IQUISA   SANTA   CLARA,   S.A.   DE   C.V.   (ANTES   MEXICHEM DERIVADOS S.A. DE C.V.)",,,,KM. 16.5  VIA MORELOS,SANTA CLARA,ECATEPEC DE MORELOS,55540,MEXICO,08FQBI150330022,05/10/2011,FABRICACION DE PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,"FABRICACION  DE  HIPOCLORITO  DE  SODIO,  HIDROXIDO  DE  SODIO,  ACIDO  CLORHIDRICO, CLORATO DE POTASIO E HIDROGENO.",,,,,,
49,,LOPEZ BEZIEZ JOSE / ENTHONE OMI DE MEXICO S. A DE C. V,,,,NORTE 59 NO.. 896,INDUSTRIAL VALLEJO,AZCAPOTZALCO,,DF,98AR05,,"FABRICA DE PRODUCTOS QUIMICOS, TOXICOS Y/O PELIGROSOS",,,,NO DISPONIBLE,,,,,,
50,,"MAGNELEC, S.A. DE C.V.",,,,DOMICILIO CONOCIDO,INDUSTRIAL,OCAMPO,27630,COAHUILA,06FQBI050230007,16/07/2010,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,FABRICACION DE SULFATO DE SODIO,,,,,,
51,,MANTENIMIENTO QUIMICO INDUSTRIAL S.A. DE C.V.,,,,CALLE 30 NO. 2558,ZONA INDUSTRIAL,GUADALAJARA,,JALISCO,97AR07E,02/05/1997,"FABRICA DE PRODUCTOS QUIMICOS, TOXICOS Y/O PELIGROSOS",,,,NO DISPONIBLE,,,,,,
52,,"METALURGICA MET-MEX PEAOLES S.A. DE C.V (PLANTA ACIDO 2, PLANTA ACIDO 3, PLANTA SULFATO DE AMONIO)",,,,LAGUNA PONIENTE 3200,METALURGICA,TORREON,27370,COAHUILA,07FQBI050350011,31/05/2007,FABRICACIAN DE OTROS PRODUCTOS QUAMICOS BASICOS INORGANICOS,,,,"FABRICACION DE ACIDO SULFURICO, OLEUM, SULFATO DE AMONIO Y BIOXIDO DE AZUFRE",,,,,,
53,,"MEXICHEM DERIVADOS, S.A. DE C.V. PLANTA EL SALTO",,,,ANTIGUO CAMINO A PENNWALT S/N,LA AZUCENA,EL SALTO,45680,JALISCO,12FQBI140700025,10/10/2012,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,"FABRICACION DE CLORO, SOSA CAUSTICA, ACIDO CLORHIDRICO, HIPOCLORITO DE SODIO E HIDROGENO GAS.",,,,,,
54,,"MEXICHEM FLUOR, S.A. DE C.V.",,,,KM. 4.5 CARRETERA A REYNOSA,EJIDO LAS RUSIAS,MATAMOROS,87560,TAMAULIPAS,97AR13E,11/03/2014,FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS INORGANICOS,,,,FABRICACION DE ACIDO SULFURICO Y ACIDO FLUORHIDRICO,,,,,,
