No. ,Empresa,Dirección,Municipio,Clave Municipio,Estado,Clave Entidad,Teléfono,Tipo de residuo,No. de Autorización,Vigencia    Inicio    ,Vigencia Termino,Capacidad Toneladas.,,,,,,,
23,"Baja Wastewater Solution, S de RL de CV","Eusebio Kino No. 113, Parque Industrial Garita de Otay",Tijuana,4,Baja California,2,66 46 47 50 20,"agua con goma, agua con tintas, agua con grasas y aceite, agua con latex, agua con almidones, aguas residuales de lavados de acabados de superficie, aguas residuales de chapado de metales y aguas residuales de enjuagues de pintura y recubrimientos",02-004-PS-II-03-D-2010,15/02/2010,15/02/2020,1.00,,,,,,,
24,"California Metals and Electronics de México, SA de CV","Av. De Los Insurgentes No. 1516 B-2, Col. Granjas Agrícolas, CP 21297",Mexicali,2,Baja California,2,68 65 67 60 09,baterías plomo ácido,02-II-10-08,28/05/2010,28/05/2020,84.00,,,,,,,
25,"Baterias Atlas, S.A. de C.V.","Calle Almendra No. 11, Fracc. Las Huertas 1a. Sección",Tijuana,4,Baja California,2,664-689-1589,Acumuladores automotrices usados,02-004-PS-II-01-D-2009,01/01/2009,01/01/2019,630.00,,,,,,,
26,"Comercializadora de Servicios Integrales Peisal, S.A. de C.V.","Blvd. Insurgentes No. 19801, Nave 3, Parque Industrial Fim-Her, Col. Guaycura, C.P. 22216",Tijuana,4,Baja California,2,664-969-5455,Residuos industriales electronicos,02-004-PS-II-05-D-2009,01/06/2009,01/06/2019,720.00,,,,,,,
27,"Acumuladores Mexicali Mexico, S.A. de C.V.","Blvd. Lazaro Cardenas No. 1478, Fracc. Villas del Real",Mexicali,2,Baja California,2,686-555-3300,Acumuladores automotrices usados,02-004-PS-II-08-D-2009,01/09/2009,01/09/2019,"7,200.00",,,,,,,
28,"Manufactura Moderna Integral, S.A. de C.V.","Blvd. Castellón No. 1220, Conj. Urbano Esperanza, C.P. 21750",Mexicali,2,Baja California,2,686-273-5559,Acumuladores automotrices usados tipo plomo-ácido,02-002-PS-II-02-D-2010,01/01/2010,01/01/2020,"1,000.00",,,,,,,
29,"Acumuladores Mexicali Mexico, S.A. de C.V.","Blvd. Lazaro Cardenas 1478, Fracc. Villas del real",Mexicali,2,Baja California,2,686-555-3300,Acumuladores automotrices usados,02-004-PS-II-05-D-2010,01/09/2010,01/09/2020,30.00,,,,,,,
30,"Grupo Unifam, S.A. de C.V.","Calle Fray Mayorga No. 1000-C, Col. Garita de Otay, C.P. 22170",Tijuana,4,Baja California,2,664-647-5467,Baterias (acumuladores) industriales y aautomotrices,02-004-PS-II-06-D-2010,01/09/2010,01/09/2020,50.00,,,,,,,
31,"Administración de Recursos Eco-Ambiente, S. de R.L. de C.V.","Calle Tercera Oeste 17500-5, Col. Garita de Otay",Tijuana,4,Baja California,2,664-647-8004,residuos electronicos y escoria de soldadura,02-004-PS-II-07-D-2010,01/12/2010,01/12/2020,552,,,,,,,
32,"Materiales Arjamex, S.A. de C.V.","Boulevard Díaz Ordaz, No. 713, Fracc, Las Huertas, Delegación La Mesa, C.P. 22116.",Tijuana,4,Baja California,2,664) 689-1101 ,Catalizadores Gastados de Vehículos Automotores con características de corrosividad y toxicidad,No. 02-004-PS-II-02-D-2011,ABRIL 2011,ABRIL 2021,4.05,,,,,,,
