Timestamp,Today's date,Type of Event (select all that apply),"Where is the issue? Provide street, municipality, and state (don't include your personal information)",What is the issue?,How urgent is the situation?,How long has this been an issue?,How would you resolve this issue?,Do you have evidence? Do you have a photo?,Add link to more information,Title of Report,Do you know about when this problem begun?
3/12/2018 20:06:15,3/12/2018,Mining,"Mine El Roble, VelardeA+-a, Durango",56 million dollars investment to expand mine; an agreement was signed to protect environment.,5,About one year,-,,https://www.eleconomista.com.mx/estados/Anuncia-minera-inversion-de-56-mdd-en-Durango-20170713-0037.html,Anuncia minera inversiA3n de 56 mdd en Durango,7/10/2017
3/12/2018 20:12:11,3/12/2018,Mining,"San Dimas mine, Tayoltita,  Durango","Firs Majestic, a mining company with several irregularities and accusations, opening up a new mine in Durango.",6,About one year,More regulations on mines; restrict creation of new mines before social an environmental impact report and good standing with communities,,https://www.vanguardia.com.mx/articulo/la-minera-canadiense-acusada-de-despojar-ancianos-en-coahuila-va-por-plata-y-oro-de-durango,La minera canadiense acusada de despojar ancianos en Coahuila va por plata y oro de Durango,
3/12/2018 20:19:08,3/12/2018,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)","municipalities of Atitalaquia, Tula, and Tepeji ",Increase in air pollution causes alert,6,About one year,"More regulation, e.g. of car emissions",,https://www.elindependientedehidalgo.com.mx/alerta-naranja-en-tula-calidad-del-aire/,Activan alerta naranja por calidad del aire,
3/12/2018 20:21:05,3/12/2018,"Industrial belts (e.g, hazardous companies)","Tula, Hidalgo",Government closes down cement plant for not having up to date environmental permits.,5,About one year,-,,http://www.eluniversal.com.mx/nacion/sociedad/profepa-le-saca-la-roja-la-cruz-azul,"Profepa le saca ""la roja"" a la Cruz Azul",
3/12/2018 20:25:44,3/12/2018,"Waste Management (e.g,landfills, superfund sites, pollution burning), Damage to basic services infrastructure (e.g, leaking water)","colonia Aztlan, Reynosa, Hidalgo",Sewage surfaces and floods several streets; strong odor and health hazard.,7,"One week, it just emerged",Repair sewage infrastructure,,https://www.elmanana.com/reportan-vecinos-brote-aguas-negras-rio-panuco-agua-potable-felipe-carrillo-puerto/4333256,Reportan vecinos un brote de aguas negras,
3/12/2018 20:29:13,3/12/2018,"Industrial belts (e.g, hazardous companies)","Atotonilco de Tula, Hidalgo",Families urge to be relocated as factory causes environmental damages and explosions.,8,Longer than one year,Relocate houses or close down factory; factory pays for damages,,http://www.criteriohidalgo.com/regiones/residentes-bloquean-calera-por-protesta,Residentes bloquean calera por protesta,
3/12/2018 20:32:07,3/12/2018,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)",Hidalgo,Rice fields and cows produce  large emissions of methane,4,Longer than one year,-,,https://www.elsoldehidalgo.com.mx/local/cultivos-de-arroz-y-ganaderia-contaminan-con-gas-metano,Cultivos de arroz y ganaderia contaminan con gas metano,
3/12/2018 20:36:11,3/12/2018,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)","municipalities of Ecatepec and Chalco, Estado de Mexico",Increasingly poor air quality creates health concerns,5,About one year,Holistic regulation to decrease emissions,,https://www.elsoldehidalgo.com.mx/metropoli/valle-de-mexico/hay-mala-calidad-del-aire-en-ecatepec-y-chalco-2,Hay mala calidad del aire en Ecatepec y Chalco,
3/12/2018 20:40:00,3/12/2018,"Biomass and land conflicts (e.g, including deforestation and land grabs)","El Cuale - National Protected Area, Jalisco",Government plans to protected reserve in a decree in July due to conflicts with 5 ejidos,3,About one year,Perhaps extend the protected area towards another uncontested direction,,http://www.milenio.com/region/meses-decreto-anp-sierra_cuale-flora-fauna-semadet-vallarta-milenio-noticias-jalisco_0_1112288809.html,http://www.milenio.com/region/meses-decreto-anp-sierra_cuale-flora-fauna-semadet-vallarta-milenio-noticias-jalisco_0_1112288809.html,
3/12/2018 20:44:13,3/12/2018,"Water pollution, Damage to basic services infrastructure (e.g, leaking water)","Verde river, Jalisco",Need for supervision and recovery of different rivers; unclear if government will be able to provide sufficent water,5,"One week, it just emerged",-,,http://www.milenio.com/region/rio_turbio-observatorio_agua-recomendaciones-trasvase-milenio_noticias_jalisco_0_1126687441.html,http://www.milenio.com/region/rio_turbio-observatorio_agua-recomendaciones-trasvase-milenio_noticias_jalisco_0_1126687441.html,
3/12/2018 20:56:36,3/12/2018,"Infrastructure projects (e.g, oil and gas pipelines)","Zacoalco de Torres, Jalisco",Fortius  creates 8MW solar plant,5,About one year,Continue installing more solar plants,,https://www.pv-magazine.com/2017/05/01/mexico-government-of-jalisco-commissions-8-mw-merchant-solar-plant/,Mexico: government of Jalisco commissions 8 MW merchant solar plant,
