Timestamp,Today's date,Type of Event (select all that apply),"Where is the issue? Provide street, municipality, and state (don't include your personal information)",What is the issue?,How urgent is the situation?,How long has this been an issue?,How would you resolve this issue?,Do you have evidence? Do you have a photo?,Add link to more information,Title of Report,Do you know about when this problem begun?
4/17/2018 17:51:58,,Fracking,"Rio Cazones, Puebla. ","Due to fracking, several rivers are being polluted. Which are affecting a lot of communities and even also ending in the gulf of Mexico. ",8,Longer than one year,Encourage a better waste management. Report this problem to the organization  required to regulate the waste management to the rivers.,,https://regeneracion.mx/onu-concluye-fracking-contamina-fuentes-de-agua-en-puebla/,ONU concluye: fracking contamina fuentes de agua en Puebla,9/17/2017
4/17/2018 18:01:17,,"Biodiversity conservation conflicts, Indigenous rights","CucapA!, Baja California","The indigenous population of 450 cucapas are threatened since they can no longer provide for themselves by fishing: the government is blindly imposing restrictions and taking away shipments while they allow illegal fishing (notably, by narcos). ",7,Longer than one year,Better policy.,,https://laopinion.com/2018/03/05/la-etnia-indigena-que-pelea-para-no-extinguirse-junto-a-la-vaquita-marina/,La etnia indAgena que pelea para no extinguirse junto a la vaquita marina,
4/17/2018 18:03:26,,Water pollution,"Las Balsas, Puebla.",There was a leak in a pipe truck that affected the water of several communities. Now the activists are blocking the entrance of this trucks as a protest. ,10,It just emerged,"The community should get their water cleaned, since that is where they drink from every day. Government should interfere in this situation and act correctly.",,http://www.milenio.com/region/Cierran-camiones-PEMEX-afectaciones-derrames-Puebla-Milenio-noticia_0_1112889119.html,Cierran paso a camiones de PEMEX tras afectaciones por derrames,1/30/2018
4/24/2018 23:45:45,,Water pollution,"San Felipe TepatlA!n, Puebla",Canadian companies are installing power generators close to the community and are not respecting the rights of the people. They are polluting rivers which affect drinking water of several communities. The government is ignoring the community and they continue to approve the construction of the power plants without regulations.,10,Longer than one year,I would contact NGOs to create more noise on this problem. The government has the responsibility to regulate the construction and emission of chemical substances. ,,https://regeneracion.mx/hidroelectrica-y-minera-canadiense-violan-derecho-humano-al-agua-en-la-sierra-norte/,HidroelA(c)ctrica y minera violan derecho humano al agua en la Sierra Norte,1/1/2014
4/24/2018 23:56:36,,Water pollution,"ZibatA!, Queretaro","Two private housing divisions are not managing there wastes responsibly. In consequence, they are polluting Rio QuerA(c)taro. ",8,It just emerged,"Go directly to government organizations like SEMARNAT and CONAGUA and get them to check this housing divisions. All the problem starts there, at the same time, the water already polluted needs to be cleaned in order to decrease the bad odors. ",,https://www.diariodequeretaro.com.mx/local/sigue-contaminado-el-rio-queretaro-1025775.html,Sigue contaminado el rAo QuerA(c)taro,2/25/2018
4/25/2018 0:16:03,,Water pollution,"Presa Centenario, Queretaro",Some important bodies of water in Queretaro are polluted. Which is dangeroues because a lot of water from these bodies of water is used in Qro. ,8,It just emerged,Check were the pollution is coming from and then look for solutions,,http://amqueretaro.com/queretaro/2018/01/05/alertan-contaminacion-fuentes-agua,Alertan por contaminaciA3n en fuentes de agua,1/5/2018
4/25/2018 10:13:43,,Water pollution,"MaconA, Queretaro.","Soil is being polluted due to the exploitation of bodies of water, which is generating problems for agriculture in some communities and municipalities. ",7,Longer than one year,"There is a lot of money required in order to solve this problem, according to the news article. Finding the best solution possible and acting as soon as possible is required because around 22 small communities in MaconA are without clean water.",,http://amqueretaro.com/queretaro/2017/04/10/degradacion-quimica-en-el-suelo-es-una-realidad-cea,DegradaciA3n quAmica en el suelo es una realidad: CEA,4/10/2016
4/25/2018 10:23:49,,"Waste Management (e.g,landfills, superfund sites, pollution burning)","Costa Maya, Quintana Roo.","There is a lot of waste in the beach, and the companies that are around that beach are complaining because there are no landfill to throw that garbage. Also, they are saying that the government has not improved the infrastructure.",9,It just emerged,"The government needs to improve the infrastructure in order create solutions to all these problems. Otherwise, if the garbage is not cleaned, tourism could be affected. ",,https://sipse.com/novedades/mahahual-contaminacion-alerta-ciudad-mexico-ingresos-infraestructura-285680.html,http://amqueretaro.com/queretaro/2017/04/10/degradacion-quimica-en-el-suelo-es-una-realidad-cea,2/17/2018
4/25/2018 10:32:59,,"Water pollution, Bad waste water management","Hotel Costa Del Mar, 1a. Avenida Norte S/N entre calle 10 y 12, Centro, Gonzalo Guerrero, Playa del Carmen, Quintana Roo",Closed hotel due to throwing waste waters into the ocean. ,5,It just emerged,"This is basically solved, hotel is closed.",,https://sipse.com/novedades/clausura-hotel-contaminacion-mar-aguas-negras-ayuntamiento-sellos-medio-ambiente-playa-del-carmen-285280.html,https://sipse.com/novedades/clausura-hotel-contaminacion-mar-aguas-negras-ayuntamiento-sellos-medio-ambiente-playa-del-carmen-285280.html,4/25/2018
4/25/2018 10:39:02,,Water pollution,"Playa del Carmen, Quintana Roo.","Caverns with natural swimming holes in MA(c)xico are called ""Cenotes"". There is one which is being to throw garbage. A cenote in In House. ",9,It just emerged,Look who is responsible for the garbage and start a program to clean the cenote. It is actually the biggest cenote in Playa del Carmen.,,https://sipse.com/novedades/riviera-maya-cenote-in-house-basurero-limpieza-medio-ambiente-contaminacion-285143.html,https://sipse.com/novedades/clausura-hotel-contaminacion-mar-aguas-negras-ayuntamiento-sellos-medio-ambiente-playa-del-carmen-285280.html,2/13/2018
4/25/2018 10:42:16,,Water pollution,"Playa del Carmen, Quintana Roo",Cenote being polluted by waste waters,10,It just emerged,Find out which companies are polluting the cenote and sue them. ,,https://informativoturquesa.com/denuncian-contaminacion-de-cenote-en-chemuyil/,Cenote contaminado por aguas residuales,2/12/2018
4/25/2018 11:02:16,,"Waste Management (e.g,landfills, superfund sites, pollution burning)","Blvd. Kukulcan 21, Zona Hotelera, 77500 CancAon, Q.R., Mexico","PEMEX refueling stations is violating environmental laws. This station is owned by one of the beneficiaries from the ex governor of CancAon, government is not responding to this problem.",7,It just emerged,Look out to where the company is affecting and act responsibly to stop the pollution from this station. ,,https://noticias.canal10.tv/nota/medio-ambiente/gasolinera-amenaza-al-ecosistema-en-cancun-2018-02-12,Gasolinera amenaza al ecosistema en CancAon,2/12/2018
4/25/2018 11:08:26,,"Waste Management (e.g,landfills, superfund sites, pollution burning)","Isla Holbox, Quintana roo.","Holbox does not has a proper sanitary water system. Also, they previously had problems with garbage and landfills. They are at risk of loosing tourism due to this.",10,Longer than one year,"Invest money to create a good sanitary system. Holbox is a beatiful place that attracts a lot of tourists, but the fact that there is a lot of garbage, is preventing it and even putting it in risk for the future. ",,https://news.culturacolectiva.com/medio-ambiente/crisis-sanitaria-en-holbox/,Holbox corre el riesgo de convertirse en foco de infecciA3n por crisis sanitaria,
4/25/2018 11:12:54,,Water pollution,"Riviera Maya, Quintana Roo.","Problems due to pollution, in consequence of the lack of sanitary systems and the increase in tourism. ",9,Longer than one year,"Investing more money on projects to increase the capacity of the systems. Due to the increase in tourism, there needs to be an increase in the capacity of this systems in order to keep the municipality clean. ",,https://actualidad.rt.com/actualidad/238037-mexico-aguas-residuales-contaminan-playas,MA(c)xico: Aguas residuales contaminan las famosas playas de la Riviera Maya,5/9/2017
4/25/2018 11:18:10,,"Waste Management (e.g,landfills, superfund sites, pollution burning)","Xul-Ha, Quintana Roo",Five landfills in Xul-HA! are affecting bodies of water that are used ,10,It just emerged,"Priority is clearly the bodies of water, so either the landfills are moved, or the waste is managed properly and just throw there materials which are not going to affect the bodies of water. ",,https://sipse.com/novedades/chetumal-contaminacion-agua-captacion-pozos-agua-potable-abastecimiento-ciudad-comunidad-ambientalistas-ecologistas-riesgo-dano-salud-laguna-282287.html,https://actualidad.rt.com/actualidad/238037-mexico-aguas-residuales-contaminan-playas,1/18/2018
4/25/2018 11:21:40,,Water pollution,"JosA(c) MarAa Morelos, Quintana Roo","Pollution of drinking water is affecting several municipalities in Quintana Roo. Reportedly, fertility in men is in danger due to pesticides found in the water. ",10,Longer than one year,Find where the pollution is coming from and invest in cleaning the water. This people have the right to access clean water. ,,https://laverdadnoticias.com/La-fertilidad-del-hombre-en-la-Peninsula-de-Yucatan-en-riesgo-l201712200001.html,La fertilidad del hombre en la PenAnsula de YucatA!n en riesgo,12/20/2017
4/25/2018 11:37:19,,Water pollution,"Carretera Federal Chetumal-Puerto JuA!rez KilA3metro 282, Lt 023 2, Solidaridad, 77710 Playa del Carmen, Q.R.",The hotel company recognized that they were sending some of their waste waters into the ocean after scuba drivers sued them.,3,About one year,"The hotel already admitted their error, they should admit their error now. ",,https://www.lajornadamaya.mx/2018-01-28/Hotel-Xcaret-admite-descarga-de-agua-sucia-al-mar,Hotel Xcaret admite descarga de agua sucia al mar,1/28/2017
4/25/2018 11:42:14,,Water pollution,"Kantenah, 77712 Playa del Carmen, Q.R.","AGUAKAN, the concessionary company that provides water in Quintana Roo, is not taking care correctly of the waste waters and they are releasing them into the ocean. Authorities are not doing nothing in respect to this. ",10,Longer than one year,"This is a difficult problem, because the government is already aware of it but they are not acting. Continuing to make noise about this and involve the support of NGOs could speed the process. ",,http://www.milenio.com/estados/empresa-aguas_negras-deteriorar-arrecife-playa_del_carmen-contaminacion-mar-milenio_0_989901022.html,Acusan a empresa de arrojar aguas negras y deteriorar arrecife,7/9/2017
4/25/2018 11:54:11,,Water pollution,"Bacalar, Quintana Roo","Restaurants are disposing huge quantities of oil in the sewer system, which is causing a lot of problems because its blocking the way on the pipelines. ",5,It just emerged,Improve the sewer system or regulate the disposal of oil into the system. ,,https://sipse.com/novedades/bacalar-grasa-tapones-rejillas-trampas-comercios-restaurantes-limpian-desague-planta-tratamiento-sanitario-282816.html,Restaurantes de Bacalar Vierten Grasa en el Drenaje Sanitario,1/22/2018
4/26/2018 12:48:49,,"Water pollution, Use of Hazardous materials (e.g, pesticides, lead in paint, known carcinogenics)","Bacalar, Quintana Roo. ","About 70 tons of plastic bottles are used for agrochemical purposes and the government informed that just around 10 tons are recovered, which means that 60 tons are left in the ground polluting the land and underground bodies of water ",7,Longer than one year,Create a reusing/recycling program were the company or organization who used the bottles are responsible for the process for recycling. ,,https://sipse.com/novedades/envases-contenedores-agroquimicos-quintanaroo-contaminacion-medio-ambiente-cultivos-reciclaje-243506.html,Quintana Roo desecha 70 toneladas de envases de agroquAmicos,2/20/2018
4/26/2018 12:55:32,,"Waste Management (e.g,landfills, superfund sites, pollution burning)","Cancun, Quintana Roo. ","Roberto Javier Reynoso, owner of an animal farm, Illegally manages the inorganic waste, which is having negative effects in the environment and with neighbor communities. In the past he owned a company named ECO-V, which also managed illegal waste from several hotels. ",10,Longer than one year,Take the necessary measurements of inspection and make this person take the consequences he deserves. ,,https://sipse.com/novedades/predio-basurero-contaminacion-basura-antecedentes-vecinos-afectados-cancun-quintana-roo-246740.html,https://sipse.com/novedades/envases-contenedores-agroquimicos-quintanaroo-contaminacion-medio-ambiente-cultivos-reciclaje-243506.html,3/16/2017
4/26/2018 13:01:33,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions), Water pollution","San Luis Potosi, SLP.","Every area of the state is showing different Environmental problems, there is urgency in acting otherwise they would end up in bad conditions in the near future. The problem is in all the state. ",10,About one year,"This is a long term solution, but they have to look into each municipality of the state and implement public policies to address each specific issue. ",,http://planoinformativo.com/574546/urgen-a-mitigar-la-contaminacion-ambiental-slp,Urgen a mitigar la contaminaciA3n ambiental,2/17/2018
4/26/2018 13:21:17,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions), Industrial belts (e.g, hazardous companies)","San Luis Potosi, San Luis Potosi","Artesanal block producers in the north side of SLP produce blocks without regulation and are polluting heavily. SEGAM has the responsability to regulate the emissions caused by this factories, but there is nothing that has been done yet.",10,It just emerged,"Regulate the fabrication of this blocks, there is no way that nowadays a plant could be creating that pollution and affecting the lives of a lot of people who have the right of breathing clean air. Health has to be the priority, not the production of this blocks!",,http://planoinformativo.com/570921/regidor-responsabiliza-a-segam-por-contaminacion-de-ladrilleras-slp,Regidor responsabiliza a Segam por contaminaciA3n de ladrilleras,1/29/2018
4/30/2018 19:13:21,,"Mining, Water pollution, Industrial belts (e.g, hazardous companies)","Buenavista del Cobre Mine, Cananea, Sonora, Mexico","In 2014, the mine Buenavista del Cobre spilled 40,000 cubic meters of sulfuric acid into the Sonora river, leaving 25,000 people in 7 municipalities without clean water and 360 with serious health issues. The owners of the mine, Grupo Mexico, recognized their responsibility to avoid being sued, yet they have not constructed potable water plants or supplied access to clean water, they have not cleaned the river, compensated for economic losses, nor treated the cases of illness.",8,Longer than one year,Make Grupo Mexico legally accountable for damages.,,http://www.excelsior.com.mx/nacional/2016/08/10/1109975,Grupo MA(c)xico incumpliA3 compromisos con RAo Sonora: Pavlovich,
4/30/2018 20:05:42,,"Mining, Water pollution, Industrial belts (e.g, hazardous companies)","Minera El Boleo, Santa Rosalia, Baja California Sur","The mining company El Boleo is accused of contaminating the Gulf of California with sulfuric acid, causing the death of 30 turtles in a few days. The mine is said to not respect any ecological norms, dumping toxic materials into the gulf and the Presa de Hales, as reported by eye witnesses. Additionally, employees are not given basic workers rights and their safety is endangered. ",8,Longer than one year,"Mining company must repair damage, abide by laws, and provide worker's rights for all laborers.",,https://www.sdpnoticias.com/local/baja-california-sur/2016/06/09/acusan-a-minera-el-boleo-de-contaminar-y-provocar-mortandad-de-tortugas-video,Acusan a minera El Boleo de contaminar y provocar mortandad de tortugas,
4/30/2018 20:14:04,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)","Ajusco, Tlalpan, CIudad de Mexico","The south of Mexico City reports 151 points on the air pollution index, worse than the accepted level of air quality, sending the city into phase 1 of Contingency operations. This is the fifth time in the last 5 months.",6,Longer than one year,-,,https://www.proceso.com.mx/450657/activan-contingencia-ambiental-registra-ajusco-151-puntos-ozono,Activan contingencia ambiental; registra Ajusco 151 puntos de ozono,8/11/2016
4/30/2018 20:28:33,,Water pollution,"ejido Oaxaca, Valle de Mexicali, Baja California","Communities in the Valley of Mexicali report issues with the provision and contamination of water. Sometimes they go days without water because the service is cut to supposedly repair the canals, which were damaged in the 2010 earthquake. The ejidos distribute the water themselves, but the pipes, canals and recipients they use are often contaminated, causing the proliferation of disease. Out of 75 systems, 54 were not chlorinated and cause problems.",9,Longer than one year,Collaboration of ejidos with state authorities that have the capacity of ameliorating the provision of clean and continuous water.,,http://www.lacronica.com/EdicionEnLinea/Notas/Noticias/25042016/1073731-Presenta-45-de-agua-en-valle-contaminacion.html,Presenta 45% de agua en valle contaminaciA3n,
4/30/2018 20:37:11,,Water pollution,"San Antonio del Mar, Tijuana, Baja California","Activists and residents report that the beach San Antonio del Mar is constantly contaminated with high levels of fecal matter, up to 50 times the official norm. One suspect for the contamination is the water treatment plant Cespt.",8,Longer than one year,Clear up sources of contamination. Better monitoring.,,http://www.frontera.info/EdicionEnLinea/Notas/Noticias/22032016/1063753-Playas-locales-rebasan-limites-de-insalubridad.html,Playas locales rebasan lAmites de insalubridad,
4/30/2018 20:54:45,,"Biomass and land conflicts (e.g, including deforestation and land grabs), Biodiversity conservation conflicts","Ich Ek, Campeche","The state dependencies Senasica and Sagarpa admitted that Monsanto illegally cultivated GMO soy crops in the lands of indigenous communities after being denied permission by the Supreme Court. The indigenous communities call out the corruption of the federal government, which doesn't respect its own sentence, and demand transparency and the protection of their land and its biodiversity.",9,Longer than one year,Prohibit GMOs in indigenous lands against their will. Require government and corporate transparency and accountability (reparations).,,https://www.vanguardia.com.mx/articulo/monsanto-ignoro-la-scjn-sembro-soya-transgenica-y-ya-vendio-la-cosecha,"Monsanto ignorA3 a la Corte: sembrA3 soya transgA(c)nica y ya vendiA3 la cosecha, dicen mayas",
4/30/2018 21:06:30,,Water pollution,"Cenote azul, Miguel Colorado, Campeche",Greenpeace finds that Cenote Azul is contaminated by agrochemicals such as endosulfan.,7,Longer than one year,Repair and prevention of water comtamination. Reduce use of agrochemicals and promote proper waste disposal.,,http://www.greenpeace.org/mexico/es/Noticias/2016/Diciembre/Encuentran-agrotoxicos-en-cenotes-de-la-Peninsula-de-Yucatan-/,Encuentran agrotA3xicos en cenotes de la PenAnsula de YucatA!n,
4/30/2018 21:19:36,,Water pollution,"El Centenario, La Paz, Baja California Sur",High levels of arsenic were found in the community's sources of potable water. Government plans to solve this by constructing plant that dilutes the concentration of arsenic.,9,Longer than one year,Remove source of pollution.,,http://www.bcsnoticias.mx/niveles-de-arsenico-en-agua-en-la-paz-superan-la-norma-permitida-confirma-sapa/,"Niveles de arsA(c)nico en agua en La Paz, superan la norma permitida, confirma SAPA",
4/30/2018 21:20:34,,Water pollution,"Chametla, La Paz, Baja California Sur",High levels of arsenic were found in the community's sources of potable water. Government plans to solve this by constructing plant that dilutes the concentration of arsenic.,8,Longer than one year,Remove sources of contamination.,,http://www.bcsnoticias.mx/niveles-de-arsenico-en-agua-en-la-paz-superan-la-norma-permitida-confirma-sapa/,"Niveles de arsA(c)nico en agua en La Paz, superan la norma permitida, confirma SAPA",
4/30/2018 21:27:56,,Water pollution,"Estero, San Jose del Cabo, Baja California Sur","Birds and fish found dead due to the high levels of contamination. Population is taking fish home to consume, a potential cause to serious diseases.",7,Longer than one year,Clean the water.,,http://peninsulardigital.com/extra/mortandad-peces-aves-estero-josefino/195998,Mortandad de peces y aves en el Estero josefino,5/19/2016
4/30/2018 21:45:27,,"Biomass and land conflicts (e.g, including deforestation and land grabs), Infrastructure projects (e.g, oil and gas pipelines), Biodiversity conservation conflicts","Punta Lobos, Todos Santos, Baja California Sur","The construction of the boutique hotel San Cristobal and the enormous housing development of Tres Santos (housing for more than 60,000 residents) will triple the size of Todos Santos and grow the population by 12 times. Although the construction company MINA promised to only use water from a desalinizing water plant, they have been using the scarce local water resources. Fishermen complain that the development is also affecting their livelihood. The government supports the construction, though recognizing inconsistencies. ",8,Longer than one year,Reduce size of the project to ensure enough resources and fishermen's livelihood.,,http://www.eluniversal.com.mx/articulo/nacion/2016/10/29/tres-santos-superhippie-pero-imperialista,"Tres Santos 'Supperhippie', pero imperialista",
4/30/2018 21:49:14,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions)","Cuajimalpa, Ciudad de Mexico","The air monitoring station registers up to 203 points (around 200 ppb), launching the city into phase 1 of Continency. These levels had not occurred since 2002.",8,Longer than one year,Decrease pollution from transportation.,,http://www.sinembargo.mx/14-03-2016/1635890,"Por primera vez en 14 aA+-os, la CdMx se declara en emergencia por la contaminaciA3n del aire",3/14/2016
4/30/2018 22:14:56,,"Mining, Water pollution, Use of Hazardous materials (e.g, pesticides, lead in paint, known carcinogenics)","Ejido Nueva Francia, Escuintla, Chiapas","Hundreds of fishes and even Filigonio, a 20 year old man, lose their eye sight due to the water pollution cause by the mines La Cristina and Nueva Francia. The mines are in the middle of Mexico's most precious cloud forest in the Biosfera El Triunfo. Nevertheless, the corporations have continued their illegal practices, even against the power of the Semarnat.",10,Longer than one year,Remove mining companies from protected biosphere. Demand they pay reparations or repair damages to land and communities.,,https://www.animalpolitico.com/2016/08/empresas-ligadas-ricardo-salinas-pliego-explotan-minas/,"Sin autorizaciA3n ambiental, mineras explotaron tierras protegidas de Chiapas y contaminaron rAos",
4/30/2018 22:20:46,,"Mining, Water pollution, Biodiversity conservation conflicts","Ejido Nueva Libertad, Municipio de Acacotagua, Chiapas","Hundreds of fishes and even Filigonio, a 20 year old man, lose their eye sight due to the water pollution cause by the mines La Cristina and Nueva Francia. The mines are in the middle of Mexico's most precious cloud forest in the Biosfera El Triunfo. Nevertheless, the corporations have continued their illegal practices, even against the power of the Semarnat.",10,Longer than one year,.Remove mining companies from protected biosphere. Demand they pay reparations or repair damages to land and communities.,,https://www.animalpolitico.com/2016/08/empresas-ligadas-ricardo-salinas-pliego-explotan-minas/,"Sin autorizaciA3n ambiental, mineras explotaron tierras protegidas de Chiapas y contaminaron rAos",
4/30/2018 22:40:22,,"Use of Hazardous materials (e.g, pesticides, lead in paint, known carcinogenics)","Ich Ek, Hopelchen, Campeche","The uncontrolled use of herbicides like glyphosate in the chile plantation 200 meters from the Center of Initial Indigenous Education ""Sak Lol"" has caused illnesses in the 23 schoolchildren. These toxic chemicals are connected to other cases of illness in the general population of the town.",7,Longer than one year,Ban use of toxic chemicals.,,http://tribunacampeche.com/municipios/2016/07/19/afectan-plaguicidas-menores-ich-ek/,Campeche incumple leyes a favor de los manglares,
4/30/2018 22:47:20,,Water pollution," la playa de Tijuana, Baja California",The most polluted beach in Mexico according to study by Cofepris in 2015. Has 193 NMP/100 Ml (fecal matter per 100 milliliters).,5,Longer than one year,Cleaning and prevention.,,http://elmanana.com.mx/noticia/96740/Estas-son-las-playas-mas-sucias-y-limpias-de-Mexico.html,Estas son las playas mA!s sucias y limpias de MA(c)xico,12/11/2015
4/30/2018 22:48:28,,Water pollution,"Playa Caletilla, en Acapulco, Guerrero",The most polluted beach in Mexico according to study by Cofepris in 2015. Has 110 NMP/100 Ml (fecal matter per 100 milliliters).,5,Longer than one year,Cleaning and prevention.,,http://elmanana.com.mx/noticia/96740/Estas-son-las-playas-mas-sucias-y-limpias-de-Mexico.html,Estas son las playas mA!s sucias y limpias de MA(c)xico,12/1/2015
4/30/2018 22:50:16,,Water pollution,"Playa Isla Arena,  Campeche, Campeche",The fifth most polluted beach in Mexico according to study by Cofepris in 2015. Has 92 NMP/100 Ml (fecal matter per 100 milliliters).,5,Longer than one year,Cleaning and prevention,,http://elmanana.com.mx/noticia/96740/Estas-son-las-playas-mas-sucias-y-limpias-de-Mexico.html,Estas son las playas mA!s sucias y limpias de MA(c)xico,12/1/2015
4/30/2018 22:51:54,,Water pollution," Juluapan, en Manzanillo, Colima",The seventh most polluted beach in Mexico according to study by Cofepris in 2015. Has 94 NMP/100 Ml (fecal matter per 100 milliliters).,5,Longer than one year,Cleaning and prevention,,http://elmanana.com.mx/noticia/96740/Estas-son-las-playas-mas-sucias-y-limpias-de-Mexico.html,Estas son las playas mA!s sucias y limpias de MA(c)xico,12/1/2015
4/30/2018 22:53:00,,Water pollution,"Playa Tlacopanocha, en Acapulco, Guerrero",The eigth most polluted beach in Mexico according to study by Cofepris in 2015. Has 92 NMP/100 Ml (fecal matter per 100 milliliters).,5,Longer than one year,Cleaning and prevention,,http://elmanana.com.mx/noticia/96740/Estas-son-las-playas-mas-sucias-y-limpias-de-Mexico.html,Estas son las playas mA!s sucias y limpias de MA(c)xico,12/1/2015
4/30/2018 22:54:14,,Water pollution,"Boca de Pascuales, en TecomA!n, Colima",The ninth most polluted beach in Mexico according to study by Cofepris in 2015. Has 86 NMP/100 Ml (fecal matter per 100 milliliters).,5,Longer than one year,Cleaning and prevention,,http://elmanana.com.mx/noticia/96740/Estas-son-las-playas-mas-sucias-y-limpias-de-Mexico.html,Estas son las playas mA!s sucias y limpias de MA(c)xico,12/1/2015
4/30/2018 23:10:12,,"Damage to basic services infrastructure (e.g, leaking water)","Tuxtla Gutierrex, Chiapas","Study from OECD finds that Tuxtla Gutierrez is the city with the worst potable water management, losing up to 70% because of poor infrastructure.",8,Longer than one year,Invest in infrastructure.,,https://elpais.com/internacional/2016/03/30/mexico/1459291457_391376.html,La OCDE alerta del alto desperdicio de agua en MA(c)xico,
4/30/2018 23:11:55,,"Damage to basic services infrastructure (e.g, leaking water)","San Luis Potosi, San Luis Potosi","Study from OECD finds that San Luis Potosi is the second city with the worst potable water management, losing up to 50% because of poor infrastructure.",8,Longer than one year,Improve infrastructure.,,https://elpais.com/internacional/2016/03/30/mexico/1459291457_391376.html,La OCDE alerta del alto desperdicio de agua en MA(c)xico,
4/30/2018 23:13:08,,"Damage to basic services infrastructure (e.g, leaking water)","Mexico City, Mexico","Study from OECD finds that Mexico City is the third city with the worst potable water management in the country, losing up to 40% because of poor infrastructure.",8,Longer than one year,Improve infrastructure.,,https://elpais.com/internacional/2016/03/30/mexico/1459291457_391376.html,La OCDE alerta del alto desperdicio de agua en MA(c)xico,
4/30/2018 23:22:10,,Water pollution,"San Pedro ItzicA!n, Jalisco, Mexico","At least 100 residents of the indigenous communities of San Pedro ItzicA!n, and Agua Caliente have died due to renal problems caused by water pollution. Their source of water has 21,000 times the accepted level of sulfurs, causing renal failures and congenital malformations. ",10,Longer than one year,Provide sustainable source of clean water and health care.,,https://sipse.com/mexico/dos-pueblos-jalisco-mueren-insuficiencia-renal-207536.html,"""Aqui estamos viviendo con el agua que nos esta matando""",
4/30/2018 23:23:36,,Water pollution,"Agua Caliente, Jalisco, Mexico","At least 100 residents of the indigenous communities of San Pedro ItzicA!n, and Agua Caliente have died due to renal problems caused by water pollution. Their source of water has 21,000 times the accepted level of sulfurs, causing renal failures and congenital malformations. ",10,Longer than one year,Provide sustainable source of clean water and health care.,,https://sipse.com/mexico/dos-pueblos-jalisco-mueren-insuficiencia-renal-207536.html,"""Aqui estamos viviendo con el agua que nos esta matando""",
4/30/2018 23:34:40,,"Biomass and land conflicts (e.g, including deforestation and land grabs), Biodiversity conservation conflicts","Hopelchen, Campeche","Monsanto and other companies continue to plant GMOs on the soils of indigenous communities despite a long process, involving the Supreme Court, to prohibit this endeavor. Companies must now pass a preliminary consultation, where the results are rarely clear and transparent, but communities are still not asked for their consent. The detrimental effects continue, like the deforestation of 60,000 hectares from 2005-2015. Hopelchen was the municipality with the highest rate of deforestation. The use of harmful agrochemicals has also been condemned.",9,Longer than one year,Prohibit GMOs without community's consent.,,http://www.sinembargo.mx/29-06-2016/3060097,"La soya transgA(c)nica arruina pueblos indAgenas, pero el Gobierno sA3lo vela por Monsanto: ONGs y expertos",
5/1/2018 14:37:35,,"Mining, Gold Mining","San Luis PotosA, San Luis PotosA","San Luis PotosA is one of the main states in MA(c)xico in which gold is mined, and this brings environmental consequences like mineral waste, deforestation, community abuse, children abuse, etc. ",10,Longer than one year,"Avoiding gold mining is something that is not going to happen, but a way to help reduce the impact of this would be stop buying and investing in gold. There are many ways in which this could benefit the environment if each one of us knows the consequence that mining has. ",,http://pulsoslp.com.mx/opinion/el-costo-ecologico-del-oro/,El costo ecolA3gico del oro,
5/1/2018 15:27:06,,"Biomass and land conflicts (e.g, including deforestation and land grabs), Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions), Industrial belts (e.g, hazardous companies)","Tamuin, San Luis Potosi","PROFEPA, SEGAM and SEMARNAT are not doing anything in regards to the pollution being emitted by CEMEX and the thermolectric company. Communities are being affected and have been suing and reporting this problem for over a decade but the seems like the government is not planning to do something soon. ",10,Longer than one year,Continue to report the issues until the government organizations decide to take responsibility and make this companies pay for their actions,,https://www.elsoldesanluis.com.mx/municipios/contaminacion-de-cemex-y-termoelectricas-del-golfo-y-penoles-continua,ContaminaciA3n CEMEX continua,
5/1/2018 17:29:56,,"Waste Management (e.g,landfills, superfund sites, pollution burning), Water pollution","HuehuetlA!n, San Luis Potosi",Illegal landfill is polluting underground bodies of water in the municipality of HuehuetlA!n. 12 communities are putting their waste there illegally.,10,Longer than one year,"SEMARNAT and PROFEPA are already solving this issue, it is important to continue putting pressure to be sure that this problem can be solved. ",,http://planoinformativo.com/539944/con-basura-contaminan-arroyos-de-huehuetlan-slp,Con basura contaminar arroyos de HuehuetlA!n,8/21/2017
5/1/2018 17:38:35,,"Air pollution (e.g,power plant emissions, refineries, disproportionate transportation emissions), Bad work from government organization","San Luis PotosA, San Luis PotosA","SEGAM (Secretaria de EcologAa y GestiA3n Ambiental) is not measuring air pollution in SLP in the way it should be. Since they are not doing this, they dont know how is the air quality, in consequence, there are not public policies that can prevent or address the air pollution problem",10,About one year,"On February 26, a judge ordered to make the measurements, if they don't do it this time, they could follow up with an in-execution procedure. ",,http://planoinformativo.com/578503/incumple-segam-monitoreo-del-aire-slp,Incumple SEGAM monitoreo del aire,3/10/2018
